ip_morale|Արիութիւն
ip_morale_text|Արիութիւնն է չափ ոգւոյ զօրականացն, զոր պարտին ունել առ ի դիմադրել դժուարութեանց պատերազմի, ունելով զհաստատութիւն եւ զքաջալերութիւն: Արիութիւնն ոչ է նոյն ընդ երջանկութեան զօրացն: Ընտիր զօրականք թերեւս տրտնջեսցեն վասն վաստակոյ եւ նեղութեանց ճանապարհի, այլ յորժամ նետք սկսանիցին թռչիլ յօդս` նոքա կացցեն ուս ընդ ուսի ի մարտի: Իսկ այլուստ, զօրավար ոմն որ տայ արանց իւրոց զամենայն զոր խնդրեն, թերեւս գտցէ զնոսա թուլացեալս եւ փախստականս յորժամ թշնամին յարձակեսցի: ^^Մեծագոյն ազդեցութիւն արիութեան երեւի ի պատերազմի: Այն որոշէ թէ որքա՞ն յարձակողական լիցին զօրք քո, կամ թէ որքա՞ն փութապէս փախիցեն յորժամ տեսցեն զպարտութիւն իւրեանց: Արիութիւնն ազդէ եւ ի վերայ արագութեան երթից խմբի քո: Զօրք թուլացեալք երթիցեն դանդաղագոյնս, զի արքն ոչ ջանան, յաճախ դադարեն եւ սպասեն յետնոցն: Ի վերջոյ, խումբ յոյժ նուազեալ արիութեամբ կրեսցէ զվնաս դասալքութեանց: ^^Ոմանք ի պատճառաց արիութեան են յայտնիք: Զոր օրինակ, զօրավար ոմն հռչակաւոր եւ յաղթող` տայ արանց իւրոց զվստահութիւն: Տեարք որք մատուցանեն զօրաց իւրեանց զպաշարս բազումս եւ զանազանս, եւ վճարեն զթոշակս նոցա ի ժամանակի` ցուցանեն զխնամս իւրեանց, եւ նոքա նուազագոյնս երկնչին ի կորստենէ: ^^Այլ պատճառք -- մանաւանդ որք վերաբերին առ մտերմութիւն արանցն -- ոչ են այնպէս յայտնիք: Զոր օրինակ, ի սակաւաւոր խմբի ուր արքն ճանաչեն զմիմեանս` նոքա պատերազմին քաջութեամբ զի մի՛ երեւեսցին երկչոտք յաչս ընկերաց իւրեանց: Իսկ ի մեծի բազմութեան ուր զօրավարն ոչ ունի ժամանակ լսելոյ զտրտունջս ամենեցուն` հնազանդութիւնն լինի սառն եւ պաշտօնական: Յաճախակի պատերազմք զօրացուցանեն զկապ արանց քոց, իսկ երկարատեւ խաղաղութիւնն ձանձրացուցանէ զնոսա եւ դրդէ ի կռիւս ընդ միմեանս: ^^Տեղեկութիւն արիութեան, զոր կարես տեսանել ի «Տեղեկագիրք» բաժնի, տայ քեզ զգաղափար վասն պատճառաց որք ազդեն ի վերայ ոգւոյ արանց քոց:
ip_economy|Տնտեսութիւն
ip_economy_text|Քաղաքք եւ աւանք Կալրադիոյ կարօտին բազում վաճառաց առ ի պահել զժողովուրդն ողջամիտ եւ արդիւնաւոր: Կարեւորագոյնն ի նոցանէ է կերակուրն: Հիմնական արդիւնք Կալրադիոյ է ցորեանն, այլ մարդիկ կարօտին եւ մսոյ, ձկան եւ պանրոյ վասն զօրութեան մարմնոյ: Միսն դժուարին է պահել թարմ, վասն որոյ աղն է յոյժ յարգի վաճառ: Յետ կերակրոյ գայ հանդերձանք` բուրդ ծանր, կտաւ թեթեւ կամ թաւիշ պատուական: Ի վերջոյ` մարդիկ կարօտին գործեաց վասն դարբնութեան, բրուտութեան, կաշեգործութեan եւ, անշուշտ, զինուց, զրահից եւ երիվարաց պատերազմի: ^^Բազում արդիւնք երկրագործութեան լինին ի գեւղս, իսկ արհեստաւորք ի քաղաքս հմտանան ի դարբնութիւն կամ ի հիւսուածս: Նաեւ, յայլեւայլ կողմանս աշխարհի գտանին զանազան պաշարք: Վասն որոյ ճանապարհ գտանելոյ զբարօրութիւն Կալրադիոյ անցանէ ընդ վաճառառութիւնն ի միջի գեղջց եւ քաղաքաց, եւ ի միջի մեծամեծ քաղաքաց: ^^Յորժամ վաճառառութիւնն շարունակի` վաճառք գտանին դիւրութեամբ եւ արժանագոյն գնով, ժողովուրդ միջնավայրի լինի առոյգ, եւ մարդիկ ի մերձակայ գաւառաց սկսանին գալ անդ: Միջնավայրն արտադրէ առաւել, սպառէ առաւել եւ տայ առաւել հարկս տեառն իւրում: Եթէ վաճառառութիւնն նուազեսցի` արհեստաւորք ի քաղաքաց երթան յայլ վայրս խնդրել զգործ, եւ տնտեսութիւնն դադարի: Վասն այսր` իշխողք պարտին պահպանել զճանապարհս վաճառառութեան ի պատերազմէ եւ ի յելուզակաց: Սակայն նենգաւոր վաճառական ոմն թերեւս խնդրեսցէ զքաղաքս մեկուսացեալս զի շահեսցի ի տարբերութենէ գնոց: ^^Սովորաբար գեղջուկքն բերեն զարդիւնս իւրեանց ի շուկայ քաղաքաց, վասն որոյ շուկայք գեղջց լինին սակաւամարդ: Գեղջուկքն գնեն զպիտոյս իւրեանց յարժանագոյն գնոց եւ վաճառեն զիւրեանցն թանկագոյնս: Վաճառականք որք լրջութեամբ վարեն զգործս իւրեանց` մնան ի քաղաքս վասն շահի, այլ ոմանք թերեւս մտանեն ի գեւղ մի առ ի գնել զարդիւնս: ^^Խաղացող ոմն որ կամի գիտել զբարօրութենէ գաւառի միոյ` կարէ խօսել ընդ առաջնորդի վաճառականաց (Guild Master) քաղաքին: Ճանապարհորդք կարեն տալ քեզ զանազան տեղեկութիւնս, այլ սովորաբար ոչ ինչ գիտեն բաց ի յիւրեանց վաճառառութենէ: ^^Խաղացողք կարեն ազդել ի վերայ տնտեսութեան նախ եւ առաջ պահպանելով զվաճառառութիւնն: Նաեւ կարեն ներդնել զարծաթ ի ձեռնարկութիւնս որպէս ջրաղացք կամ կաշեգործարանք: Այսոքիկ տան օգուտ ժողովրդեան եւ շահ խաղացողին: Յաջողակագոյն ձեռնարկողք են նոքա որք արտադրեն զվաճառս պիտանիս յերկրի ուր պաշարքն են բազում:
ip_courtship|Խնամախօսութիւն
ip_courtship_text|Խաղացողք կարեն կամել ամուսնանալ ընդ ումեքէ յազնուական տոհմից Կալրադիոյ: Ամուսնութիւնն ոչ է անհրաժեշտ վասն զօրանալոյ կամ հռչակաւոր լինելոյ, այլ տայ խաղացողին զառիթ զօրացուցանելոյ զյարաբերութիւնս ընդ տեարս եւ յաւակնելոյ յաթոռն արքունի: ^^Պահանջք ամուսնութեան են զանազանք վասն արանց եւ կանանց: Այր կերպարն սովորաբար պարտի վարիլ զաւանդական կերպս խնամախօսութեան: Նախ պարտ է նմա հռչակաւոր լինել յաչս ազնուականաց Կալրադիոյ, թողուլ զբարի տպաւորութիւն ի վերայ տոհմի հարսին, եւ ամուսնանալ ըստ օրինաց գաւառին: Խաղացողք անհամբերք թերեւս ընտրեսցեն զկարճ ճանապարհս, այլ պարտ է գիտել զի այս ազդեսցէ ի վերայ յարաբերութեանց ընդ այլ տեարս: ^^Այր կերպարն պարտի յիշել զի եւ այլ տեարք ջանան հաճոյ լինել նաժշտաց աշխարհին: Նաեւ կամք կնոջ են անգուշակելիք, վասն որոյ սէր խաղացողին թերեւս մնասցէ անպատասխանի: Սէրն, որպէս եւ յամենայն վայրս, Կալրադիայում եւս ոչ միշտ գտանէ զճանապարհ իւր: Անշուշտ խաղացողն կարէ դիմել յօգնութիւն այլոց եւ առնուլ զսէր տիկնոջ միոյ ոչ այնպէս ազնուական կերպիւ, այլ այս արատաւորեսցէ զհռչակ նորա: ^^Առաջին քայլն ի ճանապարհի խնամախօսութեան է խառնիլ յազնուական կենցաղ Կալրադիոյ յաճախելով ի խրախճանութիւնս եւ ի մրցութիւնս: Նաեւ շրջուն գուսանք եւ բանաստեղծք կարեն տալ քեզ զկարեւոր խորհուրդս վասն խնամախօսութեան, եւ ազդ առնել զվերջին լուրոց: ^^Կին կերպարք եւս կարեն ամուսնանալ, այլ պարտ է նոցա յիշել զի ժողովուրդ Կալրադիոյ է յոյժ աւանդապաշտ, եւ արկածախնդիր կին մի թերեւս գտցէ զբազում դժուարութիւնս: Կին կերպարն պարտի խնդրել զտէր ոմն լայնախոհ որ յօժարեսցի ամուսնանալ ընդ նմա: ^^Բարի կողմն է այն, զի կին կերպարն ոչ է պարտաւոր կատարել զպերճաշուք արարողութիւնս խնամախօսութեան, եւ կին մի կարէ ստանալ յամուսնութենէ առաւել օգուտ քան զոր տայ այրն: Վասն արկածախնդիր կնոջ` ամուսնութիւնն կարէ լինել կարճ ճանապարհ առ զօրութիւնն. նաեւ անխիղճ կերպար ոմն կարէ վարել զայր իւր իբրեւ զգործի վասն քաղաքական փառասիրութեան իւրոյ:
ip_politics|Քաղաքականութիւն
ip_politics_text|Թագաւորութիւնք Կալրադիոյ, թէպէտ ներկայացուցանեն զանազան մշակոյթս, ամենեքեան յարին ի նոյն հիմնական քաղաքական կարգ` աւատատիրութիւն (derebeylik/feudalism): Աւատատիրութիւնն հաստատեալ է ի վերայ յարաբերութեանց անձանց: Հպատակք ուխտեն զհաւատարմութիւն տեառն իւրեանց, եւ փոխանակ այսր սովորաբար ընդունին երկիր: Զարդիւնս երկրին պարտին սպառել ի պատրաստութիւն զօրաց որք օգնեսցեն տեառն ի ժամանակի պատերազմի: Տէրն եւս ունի զպարտաւորութիւն պաշտպանելոյ զժողովուրդ իւր եւ վարելոյ ընդ նոսա արդարութեամբ: ^^Այսպէս է կարգն ըստ տեսութեան: Իսկ ըստ ստուգութեան` մարդիկ ոչ միշտ ջանան վասն օգտի խմբին, այլ երբեմն լինին հակառակք միմեանց: Նկարագիրք ազնուականաց են զանազանք, եւ երբեմն նկարագիրքս այսոքիկ բախին ընդ միմեանս: Կամ երբեմն երկու ազնուականք, որք նախկինում էին բարեկամք, յետ ձախողութեան կամ պարտութեան` մեկնին թշնամաբար, կամ նոյնիսկ սիրեն զնոյն կին: ^^Նախանձն երեւի եւ ի մրցութեան վասն հաճոյ լինելոյ թագաւորին -- զոր օրինակ, թէ ո՞ւմ տացի երկիրն գրաւեալ ի մեծի արշաւանքի, կամ թէ ո՞վ լիցի սպարապետ: ^^Յորժամ ի Կալրադիա թագաւորութիւն մի ազդարարէ պատերազմ ընդդէմ այլում, քաղաքական միութիւնն է կարեւորագոյն որպէս եւ թիւ զօրականաց: Ի միաբան թագաւորութեան` ազնուականք ժողովին եւ միացուցանեն զզօրութիւնս իւրեանց առ ի ջնջել զթշնամին: Իսկ ի բաժանեալ թագաւորութեան վասն սակաւաւոր վէճից` եթէ արշաւանքն ոչ երթայ բարւոք, տեարքն ոչ անսան կոչին սպարապետի կամ մեկնին ի յիւրեանց գործս: Հաւատարմութիւն խմբին ազդէ ի վերայ պատերազմի նոյնիսկ յորժամ չիք արշաւանք: Ի բաժանեալ խմբի` տեարքն հազուադէպ ժողովին ի պահպանութիւն միմեանց: ^^Եթէ թշնամին սպասէ ի հորիզոնին իսկ ազնուականքն ուտեն զմիմեանս` յիշեա զի նոքա ոչ ունին զհաւատարմութիւն առ խումբն կամ առ մշակոյթն, այլ միայն առ անձինս եւ առ տոհմս իւրեանց: Եթէ ազնուական ոմն սկսանիցի երկնչիլ ի կորստենէ թագաւորութեանն, նա անշուշտ գտցէ պատճառ մի լուծանելոյ զուխտ հաւատարմութեան եւ փոխելոյ զկողմն իւր: Խաղացողք պարտին զայս նկատի ունել, զի կարեն գտանել զառիթ դարձուցանելոյ զդժգոհ թշնամիսն ի դաշնակիցս:
ip_character_backgrounds|Նախնիք եւ Անցեալ Կերպարի
ip_character_backgrounds_text|Ի Կալրադիա խաղացող ոմն կարէ ընտրել զանցեալ իւր յայլեւայլ հասարակական կարգաց: Ընտրութիւնս այս ազդէ ի վերայ սկզբնական հմտութեանց եւ զինուց, նաեւ ի վերայ արկածախնդիր կենաց նորա: ^^Ի Կալրադիա պատերազմն եւ քաղաքականութիւնն աւանդաբար վարին յարանց ազնուականաց: Ազնուական կերպարն դիւրագոյնս ընդունի ի խումբս զայսոսիկ, իսկ կանայք կամ մարդիկ ի ժողովրդենէ անտի թերեւս գտցեն զյաւելեալ դժուարութիւնս: Եթէ ընտրեսցես սկսանիլ իբրեւ ազնուական այր, համարեա զայդ «դիւրին» կերպ խաղալոյ: Սակայն սկսանիլ իբրեւ ազնուական կին կամ այր ի քաղաքէ` է դժուարագոյն, իսկ իբրեւ կին ի քաղաքէ` է թերեւս ամենադժուարին ճանապարհն: Բայց կանայք ունին ոմանս առաւելութիւնս ի սկզբան: Կին մարտիկ մի միայն զինուելովն իսկ գրաւէ զուշադրութիւն ամենեցուն, եւ կարէ հռչակաւոր լինել յաւելի կարճ ժամանակի քան զայրն: Նաեւ, ըստ սովորութեան, կնոջ դիւրին է ամուսնանալ ընդ ումեքէ ի բարձրագոյն տոհմից, եւ կին կերպարն կարէ շահիլ յամուսնութենէ առաւել քան զայրն: ^^Ի վերջոյ պարտ է նշել զի խաղն ոչ դնէ սահման ի վերայ վերելից կերպարաց ըստ անցելոյ նոցա: Ազնուական կամ ռամիկ, այր կամ կին, ամուսնացեալ կամ ամուրի -- ամենեքեան որք են քաջք, բախտաւորք եւ հմուտք` կարեն բարձրանալ մինչեւ ի գահն Կալրադիոյ:
ip_military_campaigns|Զինուորական Արշաւանք
ip_military_campaigns_text|Յորժամ թագաւորութիւնք Կալրադիոյ մտանեն ի պատերազմ, զօրք նոցա ունին զերկուս ընտրութիւնս վասն յարձակման: Կարեն յարձակիլ ի գեւղս եւ կործանել զվայրս հանգստեան, զի վնասեսցեն հռչակի եւ տնտեսութեան թշնամւոյն: Կամ կարեն փորձել նուաճել զքաղաքս եւ զբերդս: Այս երկրորդ ընտրութիւնն պահանջէ զերկարատեւ եւ զարիւնահեղ պաշարումն, այլ ի վերջոյ տայ զյաստատուն շահս: ^^Թագաւորք Կալրադիոյ ոչ վարեն զզօրս մշտականս որք մնան ի դաշտի որքան կամիցի հրամանատարն: Փոխանակ այսր` թագաւորութիւնքն պահպանին ի ձեռն խմբից ազնուականաց եւ հպատակաց նոցա: Երբեմն ազնուականքս այսոքիկ յարձակին ի թշնամիս առանձինն, այլ վերջնական արդիւնք ստանան ի ձեռն մեծամեծ միացեալ զօրաց: Սպարապետն թագաւորութեան, որ է ազնուական ոմն կարգեալ ի թագաւորէն, կոչեսցէ զզօրս յառաջ քան զպատերազմն եւ առաջնորդեսցէ զնոսա: Սակայն պարտ է զգուշանալ զի զօրքն մի՛ մնասցեն ի դաշտի յոյժ երկար: Ապա թէ ոչ` տեարքն սկսանին դառնալ ի յիւրեանց տունս, եւ զօրքն թուլանայ առ ի պաշտպանել զանձն ի հակայարձակմանէ: ^^Վասն այսր` պատերազմք ի Կալրադիա նմանին մենամարտի երկուց մարտիկաց: Մին ի կողմանցն ժողովէ զզօրութիւն իւր եւ հարուածէ թշնամւոյն: Եթէ սպարապետն ոչ ջանայ բաւականաչափ ի ժողովել զտեարս` ոչ կարէ վնասել թշնամւոյն: Եթէ յապաղեսցի` արշաւանքն աւարտեսցի յառաջ քան զսկսանիլն: Մեծ թագաւորութիւնն է առաւել քան զփոքրն, որպէս հզօր մարտիկն քան զտկարն: Այլ քաղաքական միութիւնն է կարեւոր, որպէս հաստատութիւն մարտիկի ընդդէմ թշնամւոյն: Երբեմն զօրք երկուց թագաւորութեանց բախին դէմ յանդիման, եւ յայնժամ արդիւնքն որոշի ի ձեռն թուոյ եւ արիութեան զօրականաց: ^^Երբեմն գիտութիւն թագաւորութեանց վասն թշնամեաց է նուազ: Տեարք պատերազմի պարտին յաճախ հետախուզել զերկիրս թշնամեաց զի գտցեն զբերդս անպաշտպանս: Նշանք վտանգի որք երեւին ի բերդոց եւ ի քաղաքաց` օգնեն զօրացն ի պաշտպանութիւն հայրենեաց: Սակայն տեղեկութիւնքս այսոքիկ թերեւս լիցին սխալք, մանաւանդ ի վերայ թուոյ զօրաց: Զօրք պաշտպանութեան որք երթան բարձնալ զպաշարումն` կարեն սխալմամբ համարել զթշնամին բազում, կամ ընդհակառակն` ուսանին զստուգութիւնն դառնութեամբ: Յարձակողքն եւս պարտին զգուշանալ յորժամ մտանեն խոր յերկիր թշնամեաց: ^^Խաղացողք պարտին յարիլ ի զօրս կամ հետախուզել զերկիր թշնամւոյն: Ոմանք թերեւս գտցեն զսպարապետն իւրեանց յոյժ զգոյշ կամ յոյժ յարձակողական: Յայնժամ կարեն դրդել զայլ տեարս փոխել զսպարապետն, կամ ջանալ լինել սպարապետ անձամբ: ^^Բազում պատերազմք են կարճատեւ: Թագաւորք երթեալք ի պատերազմ` միայն առ ժամանակ մի զգան զանձինս պարտաւորեալս վասն պատուոյ: Եթէ ոչ կարեն պարտութեան մատնել զթշնամին, սկսանին խնդրել զճանապարհ հաշտութեան զի մի՛ մնասցեն անպաշտպան ընդդէմ երրորդ կողման: Իշխողք Կալրադիոյ գիտեն քաջ զի այսօրուայ բարեկամն վաղն լինի թշնամի, եւ թշնամին` բարեկամ:
