qstr_Next_Page|Յաջորդ էջ
qstr_Your_forces_are_buil|Մարտիկք ձեր կառուցանեն զպաշարողական աշտարակ (աւարտեսցի յետ {reg9} ժամուց):
qstr_You_are_ready_to_att|Դուք պատրաստ էք յարձակել ի պարիսպսն:
qstr_The_siege_tower_is_b|Կառուցումն պաշարողական աշտարակին աւարտեցաւ, պատրաստ է ի կիրառութիւն:
qstr_As_a_last_defensive_|Որպէս յետին հնար պաշտպանութեան, դուք նահանջեցայք ի մեծ դահլիճ ամրոցին: Ընդ մնացեալ մարտիկս ձեր դուք մտաք ի յուսահատ մարտ: Եթէ պարտեսցիք, ոչ մնասցէ տեղի նահանջելոյ:
qstr_You_ve_been_driven_a|Դուք վտարեցայք ի պարիսպացն: Յարձակողքն սկսան հոսել ի փողոցս: Եթէ յաղթեսցիք նոցա, թերեւս կարասջիք փրկել զաւրն:
qstr_You_ve_breached_the_|Դուք մտաք ի քաղաքն ընդ բացուածս պարսպացն: Բայց յամառ պաշտպանքն շարունակեն զդիմադրութիւն ի փողոցս! Պարտ է ձեզ յաղթել նոցա յառաջ քան զյարձակելն յամրոցն որ ի սիրտ քաղաքին:
qstr_The_town_centre_is_y|Միջնավայր քաղաքին ձեր է, բայց մնացեալ յարձակողքն նահանջեցին յամրոցն: Վասն լիակատար յաղթութեան պարտ է ամրոցին անկանել:
qstr_The_remaining_defend|Մնացեալ պաշտպանքն նահանջեցին յամրոցն վասն յետին դիմադրութեան: Պարտ է ձեզ մտանել եւ ջախջախել զնոսա:
qstr_However_since_you_ar|Սակայն, քանզի դուք ոչ էք ուխտեալ {reg3?տիկին:տէր} {s9}-ի, նա ոչ կարէ ճանաչել զձեզ որպէս տէր այսմ {reg8?քաղաքի:ամրոցի}:
qstr_The_enemy_has_been_f|Թշնամին ստիպեցաւ նահանջել: Յարձակումն աւարտեցաւ, բայց պաշարումն շարունակի:
qstr_As_you_approach_you_|Յորժամ մերձենայք, պահապանք ամրոցին տեսանեն զձեզ եւ ողջունեն յանուն {reg3?թագուհւոյ:թագաւորի} իւրեանց, եւ բանան զդրունսն:
qstr_As_you_approach_you_a|Յորժամ մերձենայք, պահապանք ամրոցին տեսանեն զձեզ եւ ողջունեն յանուն {reg3?տիկնոջ:տեառն} իւրեանց, եւ բանան զդրունսն:
qstr__This_village_and_th| Այս գեւղ եւ շրջակայք նորա ձեր են:
qstr__You_remember_that_t| Դուք յիշէք զի տէր այսմ գեւղի եւ շրջակայ հողոց է {s7}:
qstr__These_lands_belong_| Այս հողք ոչ ումեք պատկանին:
qstr__The_village_is_infe| Գեւղն լի է {reg8} {s35}-իւք:
qstr__The_village_has_bee| Գեւղն աւարեցաւ: Տեսանէք զի սակաւք ի գեղջկաց փախչին ընդ այրեալ տունսն:
qstr__The_village_is_bein| Գեւղն աւարի:
qstr_No_one_here_seems_to|Ոչ ոք աստ թուի կամեցող լինել մարտիկ ձեր:
qstr_One_{s3}_volunteers_|Մի {s3} կամի հետեւել ձեզ:
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} կամին հետեւել ձեզ:
qstr_Try_as_you_might_you|Թէպէտ ջանացայք, բայց ոչ կարացայք յաղթել աւազակացն: Նոքա բարկութեամբ ջնջեցին զգեւղն առ ի պատժել զգեղջկայսն, եւ մեկնեցին յայսմ այրեալ հողոց առ ի գտանել զայլ արօտս:
qstr_village|գեւղ
qstr_town|քաղաք
qstr_castle|ամրոց
qstr_The_{s17}_has_no_imp|Ոչ մի բարեփոխութիւն արարեալ է վասն {s17}-ի:
qstr_The_{s17}_has_the_fo|Բարեփոխութիւնք արարեալք վասն {s17}-ի: {s18}:
qstr_The_assasins_beat_yo|Մարդասպանքն կոփեն զձեզ եւ թողուն զձեզ ի մահ:
qstr_You_have_fallen._The|Դուք անկայք: Աւազակքն փութանակի խուզարկեցին զձեզ եւ առին զամենայն դրամս զորս գտին, եւ ապա անյայտ եղեն ի խաւարի գիշերոյն: Նոքա թողին զձեզ կենդանի, գրեթէ:
qstr_Luckily_some_of_your|Բարեբախտաբար, յորժամ դուք ոչ վերադարձայք, ոմանք ի զինակցաց ձերոց սկսան խնդրել զձեզ եւ գտին զձեզ անկեալ ի ճանապարհի: Նոքա տարան զձեզ յապահով տեղի եւ պատեցին զվէրս ձեր:
qstr_Luckily_some_passing|Բարեբախտաբար, ոմանք ի գեղջկաց անցելոց ընդ այն տեղի գտին զձեզ ի ճանապարհի եւ զգացին զի դուք ոչ էք սոսկ մուրացիկ ոմն: Նոքա տարան զձեզ ի մերձակայ պանդոկն եւ պատեցին զվէրս ձեր:
qstr_You_fail_to_steal_an|Ձեզ ոչ յաջողեցաւ գողանալ զանասունս:
qstr_You_drive_away_{reg1|Դուք գողանայք {reg17} գլուխ անասնոց ի հօտէ գեւղին:
qstr_You_are_at_{s2}.|Դուք էք ի {s2}:
qstr__This_castle_has_no_| Այս ամրոց ոչ ունի պահակազաւր:
qstr__This_town_has_no_ga| Այս քաղաք ոչ ունի պահակազաւր:
qstr__You_have_successful| Դուք յաջողութեամբ...
qstr_{s13}_A_tournament_w|{s13} Մրցութիւն ուրեմն լինելոց է աստ մերձ:
qstr___{reg1}_denars_per_| ({reg1} դինարք վասն միոյ գիշերոյ)
qstr_Moreover_you_earn_{r|Աւելի եւս, դուք վաստակեցիք {reg8} դինարս ի գրաւոց զորս դիք վասն ձեր:
qstr_Victory_is_yours!_Yo|Յաղթութիւնն ձեր է! Դուք յաղթեցիք այսմ մարտի, բայց այժմ պարտ է պատրաստիլ վասն յաջորդին:
qstr_You_have_been_bested|Դուք պարտեցայք ի կռուի աստ, բայց դատաւոր մրցութեանն գովեաց զքաջութիւն ձեր եւ թոյլ տուաւ ձեզ մարտնչել ի յաջորդ փուլի:
qstr_You_were_beaten._The|Դուք պարտեցայք: Գեղջկացիք քաջալերեցան ի յաջողութենէ իւրեանց, բայց ոչ ուսան զդասն զոր կամէիք տալ նոցա:
qstr_After_beating_your_l|Յետ յաղթելոյ յետին հակառակորդին, դուք ուսուցանէք գեղջկացն թէ որպէս պարտ է պաշտպանել զանձինս ի յարձակմանց: Դուք յուսայք զի յաջորդ անգամ նոքա լինիցին պատրաստագոյնք:
qstr_The_bandits_are_brok|Աւազակքն ցրուեցան! Որք մնացինն կենդանի, փախեան երկիւղիւ ի գեղջկացն եւ ի նոր պաշտպանաց նոցա:
qstr_{s1}_s_Ship|Նաւ {s1}-ի
qstr_However_{reg3?You_ar|Ցաւ է մեզ, բայց {reg3?դուք ոչ գտանէք:{s1} ոչ գտանէ} ինչ վաճառս շահաւէտս:
qstr_^Buying_{s4}_here_an|^Գնելն զ{s4} աստ եւ վաճառելն յ{s5} բերէ {reg6} դինար շահ վասն միոյ իրի: {s3}
qstr_{reg3?You_find:{s1}_|{reg3?Դուք գտանէք:{s1} գտանէ}:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} վաստակեցաւ {reg0} փորձառութիւն:
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} վաստակեցաւ յաւելեալ {reg0} փորձառութիւն:
qstr_^You_earned_{reg0}_e|^{reg0} փորձառութիւն վաստակեցայք: {s2}
qstr_The_training_didn_t_|Մարզանքն ոչ անցաւ բարւոք:
qstr_The_training_didn_t_g|Մարզանքն ոչ անցաւ լաւ:
qstr_The_training_went_qu|Մարզանքն անցաւ ոչ չարաչար:
qstr_The_training_went_ve|Մարզանքն անցաւ յոյժ բարւոք:
qstr_The_training_went_pe|Մարզանքն անցաւ կատարելապէս:
qstr_{s13}_asked_you_to_r|{s13} հրամայեցաւ ձեզ ներկայանալ նմա առնուազն {reg13} մարտիկաւք:
qstr_{s13}_ordered_you_to|{s13} հրամայեցաւ ձեզ մասնակից լինել յարձակմանն ի վերայ {s14}-ի:
qstr_Find_and_speak_with_|Խնդրեցէք զ{s3} ի {s4} եւ տուք նմա զերդումն հաւատարմութեան:
qstr_There_has_been_an_al|Պատահեցաւ սահմանային դէպք ուրեմն: {s9}
qstr_^^Note_that_so_long_|^^Յորժամ էք սպարապետ, տեարք երկրին ակն ունին զի դուք առաջնորդեսջիք նոցա ի չուին: Եթէ կամիք սպասել հարսանեաց կամ այլոյ ինչ իրի, յառաջագոյն խօսեցարուք ընդ արքայի ձերոյ եւ յանձնեցէք զսպարապետութիւնն այլում ումեք:
qstr_Breaking_camp...|Քակել զբանակն...
qstr_Your_party_is_spotte|Զաւրախումբ ձեր տեսաւ ի {s1}-է:
qstr_Party_has_nothing_to|Զաւրախումբ ձեր ոչ ունի ինչ կերակուր!
qstr_{reg1}_{s1}_{reg2?ha|Ի գիշերի {reg1} {s1} փախեան ի զաւրախմբէ ձերմէ:
qstr_{s1}_of_{s3}_has_bee|{s1} ի {s3}-է արձակեցաւ ի գերութենէ:
qstr_Building_of_{s0}_in_|Կառուցումն {s0}-ի յ{s4} աւարտեցաւ:
qstr_{s1}_has_won_the_tou|{s1} յաղթեաց մրցութեանն ի {s2}:
qstr_{s1}_is_no_longer_in|Յափշտակութիւն աւազակաց յ{s1} աւարտեցաւ:
qstr_You_pay_for_accommod|Դուք վճարէք վասն կայանելոյն:
qstr_Betrothal_to_{s5}_ex|Նշանադրութիւնն ընդ {s5}-ի լուծաւ:
qstr__Your_tactics_skill_| Մարտավարութիւն ձեր յաւելաւ 1-ով:
qstr__Your_persuasion_ski| Համոզելն ձեր յաւելաւ 1-ով:
qstr__Your_leadership_ski| Առաջնորդութիւն ձեր յաւելաւ 1-ով:
qstr__Your_intelligence_h| Իմացութիւն ձեր յաւելաւ 1-ով.
qstr__Your_trade_skill_ha| Վաճառականութիւն ձեր յաւելաւ 1-ով.
qstr__Your_weapon_master_| Զինավարժութիւն ձեր յաւելաւ 1-ով.
qstr__Your_engineer_skill| Ճարտարապետութիւն ձեր յաւելաւ 1-ով.
qstr_You_have_finished_re|Դուք աւարտեցիք զընթերցումն գրոց {s1}: {s2}
qstr_Book_Read|Գիրքն ընթերցեալ է.
qstr_{s1}_is_scouted.|{s1} հետախուզեալ է.
qstr_{s1}_has_switched_fr|{s1} փոխեցաւ ի {s2}-է յ{s3}:
qstr_{reg65?my_Lady:my_Lo|{reg65?տիկին իմ:տէր իմ}
qstr_{reg65?My_Lady:My_Lo|{reg65?տիկին իմ:տէր իմ}
qstr_{reg65?madame:sir}|{reg65?տիկին:տէր}
qstr_{reg65?Madame:Sir}|{reg65?տիկին:տէր}
qstr__no_fiefs_|(ոչ ունի կալուածս յատուկս)
qstr__fiefs:_{s0}_|(կալուածք: {s0})
qstr_It_s_your_money_or_y|Զինչդ կամ զկեանս, {կտրիճդ իմ:գեղեցիկդ իմ}: Մի շարժիր, թէ ոչ սպանանեմք.
qstr_Lucky_for_you_you_ca|Բախտաւոր էք այսաւր: Եթէ տայք զամենայն դրամս ձեր, թոյլ տամ ձեզ ապրել.
qstr_This_a_robbery_eh?_I|Այս յափշտակութիւն է, հա՞: Տամ ձեզ պատեհութիւն տալ ինձ զամենայն ինչ, թէ ոչ ես եւ ընկերք իմ սպանանեմք զձեզ. Հասկացա՞յք.
qstr_we_have_made_very_li|առժամայն սակաւ ինչ յառաջադիմեցաք
qstr_we_have_suceeded_in_|սկսաք տեղի գտանել, բայց տակաւին բազում գործ կայ
qstr_we_have_become_a_sig|եղաք զաւրութիւն յարգելի եւ ունիմք յոյս յաղթութեան
qstr_we_are_winning_the_w|յաղթեմք ի մարտի, բայց թշնամիք մեր տակաւին դիմադրեն
qstr_we_are_on_the_verge_|ի շեմին եմք յաղթութեան: Մնացեալ թշնամիք ոչ են վտանգաւորք, բայց պարտ է ջնջել զնոսա
qstr_{playername}_when_we|{playername}, յորժամ սկսաք զմեր երկար երթն, սակաւք ունէին զքաջութիւն զօրավիգ լինելոյ ինձ: Եւ առաւել սակաւք էին յօժարք դնել զկեանս իւրեանց ի վտանգ վասն դատի իմոյ: Բայց դուք ոչ դադարեցաք եւ ոչ մի վայրկեան՝ արկանել զձեզ առաջի թշնամեաց իմոց: Մեք անցաք ընդ բազում ինչ միասին, եւ եղեն ժամանակք, յորժամ ես մերձ էի կորուսանել զյոյս: Բայց օգնութեամբն Աստուծոյ, մեք ելաք պարզերես: Արդ ժամ է մեկնելոյ ի քէն եւ ընդունելոյ զայն, զոր արժանի եմ: Յայսմ հետէ ես կրեցից զպասախանատուութիւն կառավարելոյ զ{s3}ն: Տակաւին կարեմք հանդիպել բազում խոչընդոտաց, եւ ես յուսամ ի ձեզ առ ի յաղթահարել զնոսա: Եւ անշուշտ, դուք միշտ մնասջիք որպէս իմ կարեւորագոյն հպատակ:
qstr__We_will_of_course_n|Անշուշտ պարտ է մեզ սպասել մինչեւ զօրք մեր դարձցին յարշաւանաց:
qstr_I_am_{s4}_the_ruler_|Ես եմ {s4}, իշխան {s6}-ի:
qstr_I_am_{s4}_a_vassal_o|Ես եմ {s4}, հպատակ {s6}-ի:
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? եւ տէր {s8}-ի:.:
qstr_{s13}_asked_you_to_g|{s13} հրամայեաց ձեզ ժողովել {reg3} գլուխ անդեաց եւ մատուցանել նմա:
qstr_{s9}_asked_you_to_sc|{s9} կամեցաւ, զի դուք լրտեսեսջիք զսահմանս {s13}-ի, {s14}-ի եւ {s15}-ի եւ ազդ արարջիք նմա:
qstr_you|դուք
qstr_You_are_challenging_|Դուք մենամա՞րտ առաջարկէք ինձ: Ո՜րչափ իմաստուն! Որպէս եւ կամիք, {playername}, ես ջախջախեցից զգլուխ ձեր եւ այսպէս զբաղեցայց յայսօր:
qstr_{s16}_and_{s17}|{s16} եւ {s17}
qstr_Very_well_I_will_acc|Բարի՛, ես վերստին ընկալցիմ զձեզ ի շարս իմ, եթէ պատրաստ էք կրկնել զսուրբ երդումն:
qstr_A_pardon_will_only_b|Միակ հնար թողութեան ձերոյ է՝ գալ առ իս ընդ {s17}-ի որպէս գերւոյ ձերոյ: Ընդունի՞ք զպայմանս իմ:
qstr_No._There_is_no_chan|Ո՛չ: Չիք հնար հաշտութեան ի մէջ մեր: Ոչ հետաքրքրէ զիս:
qstr_Our_marshal_{s1}|Սպարապետ մեր, {s1}
qstr_{s11}_and_{s12}|{s11} եւ {s12}
qstr_We_are_not_at_war_wi|Մեք ոչ եմք ի պատերազմի ընդ ումեք:
qstr_We_are_at_war_with_{|Մեք եմք ի պատերազմի ընդ {s12}-ի:
qstr_go_on_the_offensive_|յարձակել այժմիկ
qstr_act_to_defend_our_la|գործել առ ի պաշտպանել զհողս մեր
qstr_take_more_time_to_ga|սպասել սակաւիկ մի առ ի ժողովել զզօրս
qstr_You_promised_to_help|Դուք խոստացայք օգնել {s13}-ի մինչեւ նա ընկալցի զպսակն {s14}-ի:
qstr_What_do_you_say_to_e|Զի՞նչ ասէք վասն մտանելոյ ի ծառայութիւն {s9}-ի որպէս առաջնորդ վարձկան մարտիկաց:
qstr_{s9}_asked_you_to_ta|{s9} կամի, զի դուք տանիցիք զթուղթն, զոր գրեաց վասն {s13}-ի: Յորժամ ընկալայք զառաջադրանքն, {s13} գտանէր ի {s4} իւրում:
qstr_{s9}_asked_you_to_tak|{s9} կամի, զի դուք տանիցիք զթուղթն ի {s15}-է իւրմէ առ {s13}: Յորժամ ընկալայք զառաջադրանքն, {s13} գտանէր ի {s4} իւրում:
qstr_{s11}_asked_you_to_e|{s11} կամի, զի դուք ուղեկից լիցիջիք {s17}-ի իւրոյ վասն {s13}-ի մինչեւ ի {s14}:
qstr_{s13}_asked_you_to_d|{s13} կամեցաւ, զի դուք վճարեսջիք ընդ աւազակացն, որք բնակեցան ի {s15} իւրում, եւ ապա ազդ արարջիք նմա:
qstr_{s9}_asked_you_to_ra|{s9} կամեցաւ, զի դուք կրթեսջիք {reg1} {s14} եւ մատուցանեսջիք նմա:
qstr_{s9}_asked_you_to_co|{s9} կամեցաւ զի դուք հաւաքեսջիք զհարկսն ի {s3}-է: Նա առաջարկեաց ձեզ զհինգերորդ մասն զամենայն հաւաքեալ դրամոցն.
qstr_{s9}_asked_you_to_hu|{s9} կամեցաւ զի դուք որսայք զաւազակն {s4}: Կարծի թէ նա արդ է յ{s3}.
qstr_{s9}_asked_you_to_as|{s9} կամեցաւ զի դուք սպանանեսջիք զտեղական վաճառականն ի {s3}.
qstr_{s9}_has_asked_you_t|{s9} կամեցաւ զի դուք հանդիպեսջիք լրտեսին յ{s13}.
qstr_{s11}_asked_you_to_f|{s11} կամեցաւ զի դուք հետեւեսջիք լրտեսին որ մեկնեցաւ ի {s12}: Պարտ է ձեզ լինել զգուշաւոր զի նա մի՛ տեսցէ զձեզ, թէ ոչ նա կասկածեսցի եւ դարձցի: Յորժամ լրտեսն հանդիպեսցի ընկերի իւրում, դուք պարտ էք ըմբռնել զերկոսեանն եւ բերել առ {s11}.
qstr_{s11}_asked_you_to_c|{s11} կամեցաւ զի դուք ըմբռնեսջիք զմի ոմն ի տեարց, եւ ապա տարեսջիք զնա յ{s11} առ ի թագուցանել զնա.
qstr_{s9}_asked_you_to_le|{s9} կամեցաւ զի դուք տայք նմա զօգնական ձեր {s3} առ ի փոխ տալ զնա վասն միոյ շաբաթու.
qstr_{s9}_asked_you_to_col|{s9} կամեցաւ զի դուք հաւաքեսջիք զպարտս {s3}-ի առ նա, որ է {reg4} դինար: {s3} էր յ{s4} յորժամ դուք առիք զառաջադրանքն.
qstr_{s11}_gave_you_a_fak|{s11} տուաւ ձեզ կեղծ նամակ ուրեմն առ ի խաբել զ{s13} զի նա վտարեսցէ զվասալ իւր {s16}: Պարտ է ձեզ գնալ ի շրջակայս {s14}-ի, տալ զնամակն միում ի մարտիկաց {s15}-ի եւ առաքել զնա ի քաղաքն որպէս սուրհանդակ.
qstr_{s9}_has_requested_y|{s9} կամեցաւ զի դուք բերեսջիք նմա {reg1} {s3} գերիս.
qstr_Lend_your_experience|{s1} խնդրեաց ի ձէնջ զփորձառու բժիշկ ձեր {s3}.
qstr_Then_take_it_with_my|Ապա ընկալարուք զայն յիմմէ խորին երախտագիտութենէ: Դուք էք ճշմարիտ ազնուական: Ես երբէք ոչ մոռացայց զօգնութիւն ձեր ի ժամու նեղութեան իմոյ.
qstr_Forgive_me_{playerna|Ներեցէք ինձ {playername}, բայց ես պնդեմ զի դուք ընկալջիք զայս: Դրամն սակաւ ինչ նշանակէ ինձ, բայց պարտք իմ առ ձեզ է մեծ: Առէք, եւ այլ մի՛ խօսեսցուք զայսմանէ.
qstr_{playername}_what_a_|{playername}, որքա՜ն պատուական էք դուք, բայց ես ոչ թոյլ տամ ձեզ մերժել զայս: Ես պարտիմ ձեզ աւելի քան զոր կարեմ ասել, եւ վստահ եմ զի դուք լաւագոյնս վարեսջիք ընդ դրամսդ քան զիս.
qstr_{s11}_asked_you_to_r|{s11} կամեցաւ զի դուք փրկեսջիք զ{s17} ի {s13} յ{s14} փոխանակելով զձեզ ընդ նմա ի բանտին.
qstr_{s11}_asked_you_to_re|{s11} կամեցաւ զի դուք փրկեսջիք զ{s17} ի {s13} յ{s14}.
qstr_{s11}_asked_you_to_d|{s11} կամեցաւ զի դուք տանիցիք պատգամ առ {s13} որ կայ ի գերութեան յ{s14}.
qstr_You_agreed_to_challe|Դուք յանձն առիք մենամարտիլ ընդ {s13}-ի առ ի պաշտպանել զպատիւ {s11}-ի.
qstr_{s5}__Persuasion_str|{s5} (Զաւրութիւն համոզելոյ: {reg5})
qstr_Persuasion_Attempt|Փորձ համոզելոյ
qstr_A_villager_from_{s7}|Գեղջկացի ոմն ի {s7}-է հայցեաց զօգնութիւն ձեր առ ի փրկել զգեւղն իւրեանց յաւազակաց որք բնակեցան անդ.
qstr_You_chose_well_{sir/|Բարի ընտրութիւն, {տէր իմ:տիկին իմ}: Մարտիկք իմ գիտեն պահել զխոստումն իւրեանց եւ արժանի լինել վարձուց իւրեանց.
qstr_Well_done_{sir/madam|Յոյժ լաւ, {տէր իմ:տիկին իմ}: Մի՛ զրկէք զմեզ ի դրամոյ եւ ի գինւոյ, եւ ոչ ումեք երկնչիցիք ի լայնատարած Կալրադիա աստ.
qstr_We_are_at_your_servi|Ի ծառայութեան ձերում եմք, {տէր իմ:տէր իմ}: Ցուցէք մեզ զնա, որում պարտ է վնասել, եւ մենք կատարեսցուք զմնացեալն.
qstr_The_Guildmaster_of_{|Առաջնորդ համքարութեան յ{s13} կամեցաւ զի դուք հոգ տանիցիք վասն աւազակաց շուրջ զքաղաքաւ.
qstr_{s9}_of_{s3}_asked_y|{s9} ի {s3}-է կամեցաւ զի դուք հասուցանեսջիք {reg5} {s6} ի պանդոկն յ{s4} յընթացս 7 աւուրց.
qstr_Escort_the_merchant_|Ընկերակից լինել վաճառականացն որք երթան ի հողս {s1}.
qstr_Merchant_{s9}_of_{s4|Վաճառականն {s9} ի {s4}-է կամեցաւ զի դուք որսայք զչարագործ աւազակսն շուրջ զքաղաքաւ.
qstr_Guildmaster_of_{s4}_|Առաջնորդ համքարութեան յ{s4} տուաւ ձեզ {reg12} դինարս առ ի վճարել զփրկագին աղջկան ուրումն յափշտակելոյ յաւազակաց: Պարտ է ձեզ հանդիպիլ աւազակացն մերձ յ{s3} եւ վճարել զփրկագինն: Ապա դուք պարտ էք դարձուցանել զաղջիկն յ{s4}.
qstr_Guildmaster_of_{s4}_p|Առաջնորդ համքարութեան յ{s4} առաջարկեաց ձեզ {reg12} դինարս, եթէ յաջողեսջիք զգուշացուցանել զ{s12} եւ զ{s13} զի նոքա մի՛ լինիցին վտանգ վասն հնարաւոր խաղաղութեան ընդ {s15} եւ {s14}. Այսմ հասանելոյ համար պարտ է ձեզ կամ համոզել զնոսա, կամ պահել զնոսա որպէս գերիս մինչեւ զդաշնադրութիւնն.
qstr_The_Guildmaster_of_{s|Առաջնորդ համքարութեան յ{s14} կամեցաւ զի դուք հոգ տանիցիք վասն խմբի աւազակաց որք երկիւղ սփռեն ի փողոցս {s14}-ի: Նոքա երեւին միայն ի գիշերի եւ յարձակին ի վերայ միայնակ ճանապարհորդաց.
qstr_Guildmaster_of_{s10}|Առաջնորդ համքարութեան յ{s10} կամեցաւ զի դուք վարեսջիք հօտ մի անասնոց յ{s13}. Փոխարէն դուք վաստակեսջիք {reg8} դինարս.
qstr_He_is_not_commanding|Նա առժամայն ոչ ումեք հրամայէ.
qstr_He_currently_command|Նա առժամայն հրամայէ {reg0} մարտիկաց, յորոց մօտ {reg1} են վիրաւորեալք.
qstr_The_elder_of_the_vil|Երէց գեւղին {s3} կամեցաւ զի դուք բերեսջիք նմա {reg5} քուրձ ցորենոյ.
qstr_The_elder_of_the_vill|Երէց գեւղին {s3} կամեցաւ զի դուք մարզեսջիք {reg5} մշակս զի կարասցեն մարտնչիլ ընդ աւազակացն.
qstr_The_elder_of_the_villa|Երէց գեւղին {s3} կամեցաւ զի դուք բերեսջիք նմա {reg5} գլուխ անասնոց.
qstr_{s16}_and_{s15}|{s16} եւ {s15}
qstr_I_can_smell_a_fat_pu|Ես զգամ զհոտ գիր յակի յայսմ կողմանէ ճանապարհին: Թուի ինձ թէ ժամ է ձեզ թեթեւանալոյ!
qstr_Why_it_be_another_tr|Ա՜հ, այլ ոմն ճանապարհորդ զոր բախտն բերեաց! Պարտ է ձեզ զգուշացուցանել, այս դաշտք են վտանգաւորք վասն այնպիսի {պարոնի:տիկնոջ} որպէս դուք էք: Բայց սակաւ ինչ նուիրատուութեամբ ես եւ բարեկամք իմ կարեմք հասուցանել զձեզ յապահով տեղի...
qstr_Well_well_look_at_th|Տեսէ՜ք, տեսէ՜ք! Լաւ լինի ձեզ տալ մեզ զարծաթ ձեր, բարեկամ, թէ ոչ ես եւ ընկերք իմ ստիպեալ լինիցիմք կոտրել զձեզ.
qstr_There_s_a_toll_for_p|Անցնումն ընդ այս հողս ունի վարձ, զոր մեզ վճարէք. դուք մի՛ խռովիք, մենք առնումք զվարձն ի քսակաց ձերոց...
qstr_Another_fool_come_to|Այլ ոմն յիմար որ եկն մատնել զանձն սրոյ իմոյ, հա՞: Այդպէս լիցի, եկ եւ մարտիր!
qstr_We_re_not_afraid_of_|Մենք ոչ երկնչիմք յայնպիսի {առնէ:կնոջէ} որպէս դուք էք: Տեսցէք յորժամ ջախջախեմք զգլուխ ձեր!
qstr_That_was_a_mistake._|Այդ սխալ էր: Արդ պարտ է ինձ արարել զմահ ձեր երկայն եւ դառնաղէտ.
qstr_Brave_words._Let_s_s|Քաջալեր բանք: Տեսցուք թէ կարիցէ՞ք կատարել զնոսա, շո՛ւն!
qstr_A_{s5}?_Well..._Yes_|Մի {s5}՞: Թուի թէ... այո: Որքա՜ն հետաքրքիր հարց է այս.
qstr_Eh?_No_it_most_certa|Է՞: Ոչ, այս անշուշտ ոչ է {s5}: Եթէ լինէի փոխանակ ձեր, զննէի զաչս իմ.
qstr_This_is_the_{reg4?to|Այս է {s5}, {տէր իմ:տիկին իմ}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Քաղաք մեր:Գեւղ մեր} եւ հողքն շուրջ զնովաւ անշուշտ պատկանին ձեզ, {տէր իմ:տիկին իմ}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Քաղաք մեր:Գեւղ մեր} եւ հողքն շուրջ զնովաւ պատկանին {s7}-ի ի {s8}-է.
qstr_{s3}_and_{s5}|{s3} եւ {s5}
qstr_{reg20?We_mostly_pro|{reg20?Աստ առաւելապէս {s5} արտադրեմք:Այսմ ժամանակի ոչ ինչ յատուկ արտադրեմք}. Եթէ կամիք ուսանել աւելի, կարէք խօսիլ ընդ {reg4?առաջնորդի համքարութեան մերոյ:երիցու գեւղի մերոյ}. Նա է անդ, յառաջ.
qstr_{reg3?激s2}_s_locatio|{reg3?Տեղի {s2}-ի ոչ էր յայտ:Տեղի {s2}-ի ոչ է յայտ}:
qstr_Renown_value_for_this|Հռչակ այսր մարտի է {reg8}:
qstr__You_have_successfully| Ձեզ յաջողեցաւ մտանել ի ներքս գաղտնաբար:
